Id,isin
1,
2,IT0004441603
3,IT0005412298
4,IT0004887409
5,IT0005001943
6,IT0005022097
7,IT0005024960
8,IT0005252728
9,IT0001413837
10,IT0003073266
11,IT0004210289
12,IT0003056386
13,IT0000076536
14,
15,IT0004623051
16,
17,NL0011585146
18,IT0005143547
19,NL0015435975
20,IT0005075764
21,IT0005042467
22,IT0004125677
23,IT0001069902
24,IT0001206769
25,IT0005056236
26,IT0003261069
27,IT0001467577
28,IT0003127930
29,IT0000066966
30,IT0005422768
31,IT0005433732
32,IT0003127898
33,IT0003690283
34,IT0001465159
35,NL0013995087
36,IT0001347308
37,IT0005253205
38,IT0003865570
39,IT0004720733
40,IT0003198790
41,IT0005283640
42,IT0003128367
43,IT0003242622
44,IT0004370448
45,
46,IT0001207098
47,IT0001233417
48,IT0004618465
49,IT0004819857
50,IT0005037905
51,
52,IT0004745607
53,IT0001029492
54,IT0005188336
55,IT0004053440
56,IT0003124663
57,IT0003317945
58,IT0004176001
59,IT0001128047
60,IT0001223277
61,IT0003203947
62,IT0001077780
63,IT0004370463
64,IT0003497168
65,IT0003428445
66,LU0556041001
67,IT0003023980
68,IT0005387995
69,IT0003826473
70,IT0001018362
71,IT0004356751
72,IT0001055521
73,IT0000074135
74,
75,IT0004967672
76,IT0003153415
77,IT0003027817
78,IT0001250932
79,IT0001382024
80,IT0004093263
81,IT0003372205
82,IT0004999451
83,IT0004171440
84,IT0000070786
85,IT0001178299
86,IT0000070786
87,IT0004819030
88,IT0001446613
89,IT0004249329
90,IT0003540470
91,IT0005378325
92,IT0004982242
93,IT0005028540
94,
95,IT0004056880
96,IT0000080421
97,IT0004818297
98,IT0003492391
99,IT0004554116
100,IT0003115950
101,IT0003025019
102,IT0003404214
103,IT0004222102
104,IT0004240443
105,IT0004297575
106,IT0001237053
107,IT0005395071
108,IT0004967292
109,IT0004894900
110,IT0004659428
111,IT0003217368
112,IT0001049623
113,IT0003097257
114,IT0001498481
115,IT0004027279
116,IT0001042610
117,IT0004585243
118,IT0001046553
119,IT0001078911
120,IT0001415246
121,NL0010545661
122,IT0000076502
123,IT0005068249
124,IT0005091324
125,IT0005107492
126,IT0004552359
127,IT0000084043
128,IT0003201198
129,IT0001490736
130,IT0003977540
131,IT0000214293
132,IT0003506190
133,IT0003676282
134,IT0000084027
135,IT0001006128
136,IT0001469995
137,IT0001268561
138,
139,IT0001447785
140,IT0004991490
141,IT0001472171
142,IT0004329733
143,IT0000066016
144,IT0005283111
145,IT0004587470
146,IT0005117848
147,IT0001469383
148,IT0000086923
149,IT0001398541
150,IT0001063210
151,IT0005001554
152,FR0011443266
153,IT0004931496
154,IT0005025355
155,IT0004522162
156,IT0005054967
157,IT0005069809
158,IT0005083727
159,CH0274177580
160,IT0005122400
161,IT0005089476
162,IT0005122392
163,IT0005144768
164,IT0001469953
165,IT0005090136
166,IT0005090300
167,IT0000433307
168,IT0004098510
169,IT0003132476
170,IT0001157020
171,IT0004931058
172,IT0001017851
173,IT0005252140
174,IT0001479374
175,IT0003007728
176,IT0001033700
177,IT0003697080
178,IT0004604762
179,IT0004724107
180,IT0001384590
181,IT0001210050
182,IT0004607518
183,IT0004712375
184,IT0001054904
185,IT0004764699
186,IT0001127874
187,IT0004937469
188,IT0004965148
189,IT0005043507
190,IT0005105868
191,IT0004007560
192,IT0004147952
193,IT0001080248
194,IT0003828271
195,IT0005108730
196,IT0005282865
197,IT0003029441
198,IT0001479523
199,IT0001489720
200,IT0004513666
201,IT0001455473
202,IT0001454435
203,IT0001424644
204,IT0001487047
205,IT0001477402
206,IT0004014533
207,IT0004273915
208,GRS802003004
209,IT0004729759
210,IT0004735327
211,IT0004822695
212,IT0004496029
213,IT0004620099
214,IT0005040354
215,IT0005040511
216,IT0005038002
217,IT0004997984
218,IT0003365613
219,IT0001352217
220,IT0004095888
221,IT0003814537
222,IT0004983182
223,IT0004980923
224,IT0004812258
225,IT0004818636
226,IT0001042297
227,IT0005010423
228,IT0004412497
229,IT0005108748
230,IT0003683528
231,IT0003057624
232,IT0003850929
233,IT0003043418
234,IT0003895668
235,IT0001498234
236,IT0001350625
237,IT0000336518
238,IT0001008876
239,IT0000060886
240,IT0003621783
241,IT0005108219
242,IT0001137345
243,
244,IT0000074903
245,IT0003173629
246,IT0003796171
247,
248,
249,IT0001431805
250,IT0005312027
251,
252,
253,IT0005221517
254,IT0004195308
255,IT0005013013
256,
257,IT0005162406
258,IT0005440893
259,
260,
261,
262,IT0005176406
263,IT0005187940
264,IT0004776628
265,IT0004674666
266,IT0001012639
267,
268,
269,IT0005211237
270,IT0005204729
271,IT0005202277
272,IT0005200248
273,IT0005203622
274,IT0005136681
275,IT0005176299
276,
277,IT0005171936
278,IT0005316705
279,IT0005312365
280,LU0274212538
281,
282,
283,
284,
285,
286,IT0003768261
287,
288,IT0005257347
289,
290,IT0005254252
291,
292,IT0005245508
293,IT0005119810
294,IT0005244402
295,IT0005106155
296,IT0005246142
297,IT0005240046
298,IT0005138703
299,IT0005221004
300,
301,
302,IT0005325912
303,
304,
305,
306,
307,
308,IT0005337107
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,IT0000088531
319,
320,IT0005344996
321,
322,
323,
324,
325,
