Id,sector code
1,
2,47
3,74
4,74
5,74
6,74
7,74
8,63
9,248
10,248
11,63
12,65
13,63
14,
15,53
16,
17,65
18,65
19,68
20,68
21,114
22,68
23,92
24,33
25,33
26,39
27,30
28,30
29,30
30,216
31,84
32,30
33,30
34,30
35,206
36,206
37,113
38,39
39,96
40,96
41,101
42,169
43,169
44,96
45,
46,169
47,169
48,96
49,96
50,96
51,
52,96
53,258
54,132
55,213
56,214
57,57
58,258
59,258
60,214
61,214
62,258
63,142
64,142
65,88
66,88
67,71
68,71
69,71
70,71
71,71
72,71
73,35
74,
75,71
76,52
77,91
78,91
79,91
80,31
81,91
82,91
83,70
84,101
85,70
86,101
87,87
88,90
89,66
90,66
91,156
92,156
93,156
94,
95,103
96,90
97,132
98,132
99,45
100,59
101,225
102,59
103,225
104,225
105,225
106,225
107,225
108,62
109,62
110,113
111,43
112,231
113,43
114,43
115,117
116,245
117,43
118,117
119,43
120,229
121,117
122,231
123,63
124,43
125,205
126,54
127,64
128,64
129,64
130,64
131,64
132,64
133,99
134,64
135,64
136,212
137,75
138,
139,115
140,115
141,84
142,41
143,84
144,84
145,84
146,84
147,84
148,84
149,84
150,246
151,41
152,115
153,84
154,115
155,115
156,246
157,41
158,41
159,115
160,257
161,41
162,84
163,84
164,142
165,142
166,142
167,240
168,97
169,97
170,96
171,216
172,51
173,51
174,69
175,153
176,66
177,153
178,69
179,254
180,69
181,69
182,66
183,69
184,69
185,69
186,254
187,69
188,69
189,69
190,69
191,95
192,157
193,157
194,95
195,95
196,151
197,150
198,150
199,58
200,142
201,151
202,58
203,58
204,150
205,150
206,58
207,150
208,58
209,150
210,58
211,58
212,58
213,151
214,151
215,150
216,151
217,58
218,259
219,259
220,47
221,259
222,259
223,86
224,259
225,259
226,47
227,259
228,259
229,86
230,134
231,34
232,34
233,126
234,34
235,37
236,34
237,55
238,115
239,94
240,55
241,94
242,72
243,
244,100
245,102
246,106
247,
248,
249,104
250,111
251,
252,
253,223
254,42
255,111
256,
257,155
258,150
259,
260,
261,
262,64
263,84
264,104
265,104
266,108
267,
268,
269,31
270,77
271,58
272,104
273,151
274,239
275,43
276,
277,43
278,225
279,43
280,159
281,
282,
283,
284,
285,
286,126
287,
288,62
289,
290,151
291,
292,214
293,98
294,113
295,127
296,259
297,257
298,71
299,223
300,
301,
302,85
303,
304,
305,
306,
307,
308,43
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,63
319,
320,58
321,
322,
323,
324,
325,
